Field Name,Datatype,Start,End,Length,Description
prop_id,int(12),1,12,12,Property ID
prop_val_yr,numeric(4),13,16,4,Year
imprv_id,int(12),17,28,12,Improvement ID
imprv_det_id,int(12),29,40,12,Improvement Detail ID
Imprv_det_type_cd,varchar(10),41,50,10,Improvement Detail Type Cd
Imprv_det_type_desc,varchar(25),51,75,25,Improvement Detail Description
Imprv_det_class_cd,varchar(10),76,85,10,Class Code
yr_built,numeric(4),86,89,4,Year Built
depreciation_yr,numeric(4),90,93,4,Depreciation Year
imprv_det_area,numeric(15),94,108,15,Area
imprv_det_val,numeric(14),109,122,14,Detail Value
sketch_cmds,varchar(500),123,622,500,Sketch Commands
